      xlow   xupp    ylow    yupp        content      error
199  -0.25   0.00    30.0    35.0   0.000000e+00   0.000000
200  -0.25   0.00    35.0    40.0   0.000000e+00   0.000000
201  -0.25   0.00    40.0    50.0   0.000000e+00   0.000000
202  -0.25   0.00    50.0    70.0   0.000000e+00   0.000000
203  -0.25   0.00    70.0   100.0   0.000000e+00   0.000000
204  -0.25   0.00   100.0   150.0   0.000000e+00   0.000000
205  -0.25   0.00   150.0   200.0   0.000000e+00   0.000000
206  -0.25   0.00   200.0   300.0   0.000000e+00   0.000000
207  -0.25   0.00   300.0   500.0   0.000000e+00   0.000000
208   0.00   0.25    10.0    15.0   0.000000e+00   0.000000
209   0.00   0.25    15.0    20.0   0.000000e+00   0.000000
210   0.00   0.25    20.0    25.0   0.000000e+00   0.000000
211   0.00   0.25    25.0    30.0   0.000000e+00   0.000000
212   0.00   0.25    30.0    35.0   0.000000e+00   0.000000
213   0.00   0.25    35.0    40.0   0.000000e+00   0.000000
214   0.00   0.25    40.0    50.0   0.000000e+00   0.000000
215   0.00   0.25    50.0    70.0   0.000000e+00   0.000000
216   0.00   0.25    70.0   100.0   0.000000e+00   0.000000
217   0.00   0.25   100.0   150.0   0.000000e+00   0.000000
218   0.00   0.25   150.0   200.0   0.000000e+00   0.000000
219   0.00   0.25   200.0   300.0   0.000000e+00   0.000000
220   0.00   0.25   300.0   500.0   0.000000e+00   0.000000
221   0.25   0.50    10.0    15.0   0.000000e+00   0.000000
222   0.25   0.50    15.0    20.0   0.000000e+00   0.000000
223   0.25   0.50    20.0    25.0   0.000000e+00   0.000000
224   0.25   0.50    25.0    30.0   0.000000e+00   0.000000
225   0.25   0.50    30.0    35.0   0.000000e+00   0.000000
226   0.25   0.50    35.0    40.0   0.000000e+00   0.000000
227   0.25   0.50    40.0    50.0   0.000000e+00   0.000000
228   0.25   0.50    50.0    70.0   0.000000e+00   0.000000
229   0.25   0.50    70.0   100.0   0.000000e+00   0.000000
230   0.25   0.50   100.0   150.0   0.000000e+00   0.000000
231   0.25   0.50   150.0   200.0   0.000000e+00   0.000000
232   0.25   0.50   200.0   300.0   0.000000e+00   0.000000
233   0.25   0.50   300.0   500.0   0.000000e+00   0.000000
234   0.50   0.75    10.0    15.0   0.000000e+00   0.000000
235   0.50   0.75    15.0    20.0   0.000000e+00   0.000000
236   0.50   0.75    20.0    25.0   0.000000e+00   0.000000
237   0.50   0.75    25.0    30.0   0.000000e+00   0.000000
238   0.50   0.75    30.0    35.0   0.000000e+00   0.000000
239   0.50   0.75    35.0    40.0   0.000000e+00   0.000000
240   0.50   0.75    40.0    50.0   0.000000e+00   0.000000
241   0.50   0.75    50.0    70.0   0.000000e+00   0.000000
242   0.50   0.75    70.0   100.0   0.000000e+00   0.000000
243   0.50   0.75   100.0   150.0   0.000000e+00   0.000000
244   0.50   0.75   150.0   200.0   0.000000e+00   0.000000
245   0.50   0.75   200.0   300.0   0.000000e+00   0.000000
246   0.50   0.75   300.0   500.0   0.000000e+00   0.000000
247   0.75   1.00    10.0    15.0   0.000000e+00   0.000000
248   0.75   1.00    15.0    20.0   0.000000e+00   0.000000
249   0.75   1.00    20.0    25.0   0.000000e+00   0.000000
250   0.75   1.00    25.0    30.0   0.000000e+00   0.000000
251   0.75   1.00    30.0    35.0   0.000000e+00   0.000000
252   0.75   1.00    35.0    40.0   0.000000e+00   0.000000
253   0.75   1.00    40.0    50.0   0.000000e+00   0.000000
254   0.75   1.00    50.0    70.0   0.000000e+00   0.000000
255   0.75   1.00    70.0   100.0   0.000000e+00   0.000000
256   0.75   1.00   100.0   150.0   0.000000e+00   0.000000
257   0.75   1.00   150.0   200.0   0.000000e+00   0.000000
258   0.75   1.00   200.0   300.0   0.000000e+00   0.000000
259   0.75   1.00   300.0   500.0   0.000000e+00   0.000000
260   1.00   1.25    10.0    15.0   0.000000e+00   0.000000
261   1.00   1.25    15.0    20.0   0.000000e+00   0.000000
262   1.00   1.25    20.0    25.0   0.000000e+00   0.000000
263   1.00   1.25    25.0    30.0   0.000000e+00   0.000000
264   1.00   1.25    30.0    35.0   0.000000e+00   0.000000
265   1.00   1.25    35.0    40.0   0.000000e+00   0.000000
266   1.00   1.25    40.0    50.0   0.000000e+00   0.000000
267   1.00   1.25    50.0    70.0   0.000000e+00   0.000000
268   1.00   1.25    70.0   100.0   0.000000e+00   0.000000
269   1.00   1.25   100.0   150.0   0.000000e+00   0.000000
270   1.00   1.25   150.0   200.0   0.000000e+00   0.000000
271   1.00   1.25   200.0   300.0   0.000000e+00   0.000000
272   1.00   1.25   300.0   500.0   0.000000e+00   0.000000
273   1.25   1.50    10.0    15.0   0.000000e+00   0.000000
274   1.25   1.50    15.0    20.0   0.000000e+00   0.000000
275   1.25   1.50    20.0    25.0   0.000000e+00   0.000000
276   1.25   1.50    25.0    30.0   0.000000e+00   0.000000
277   1.25   1.50    30.0    35.0   0.000000e+00   0.000000
278   1.25   1.50    35.0    40.0   0.000000e+00   0.000000
279   1.25   1.50    40.0    50.0   0.000000e+00   0.000000
280   1.25   1.50    50.0    70.0   0.000000e+00   0.000000
281   1.25   1.50    70.0   100.0   0.000000e+00   0.000000
282   1.25   1.50   100.0   150.0   0.000000e+00   0.000000
283   1.25   1.50   150.0   200.0   0.000000e+00   0.000000
284   1.25   1.50   200.0   300.0   0.000000e+00   0.000000
285   1.25   1.50   300.0   500.0   0.000000e+00   0.000000
286   1.50   1.75    10.0    15.0   0.000000e+00   0.000000
287   1.50   1.75    15.0    20.0   0.000000e+00   0.000000
288   1.50   1.75    20.0    25.0   0.000000e+00   0.000000
289   1.50   1.75    25.0    30.0   0.000000e+00   0.000000
290   1.50   1.75    30.0    35.0   0.000000e+00   0.000000
291   1.50   1.75    35.0    40.0   0.000000e+00   0.000000
292   1.50   1.75    40.0    50.0   0.000000e+00   0.000000
293   1.50   1.75    50.0    70.0   0.000000e+00   0.000000
294   1.50   1.75    70.0   100.0   0.000000e+00   0.000000
295   1.50   1.75   100.0   150.0   0.000000e+00   0.000000
296   1.50   1.75   150.0   200.0   0.000000e+00   0.000000
297   1.50   1.75   200.0   300.0   0.000000e+00   0.000000
298   1.50   1.75   300.0   500.0   0.000000e+00   0.000000
299   1.75   2.00    10.0    15.0   0.000000e+00   0.000000
300   1.75   2.00    15.0    20.0   0.000000e+00   0.000000
301   1.75   2.00    20.0    25.0   0.000000e+00   0.000000
302   1.75   2.00    25.0    30.0   0.000000e+00   0.000000
303   1.75   2.00    30.0    35.0   0.000000e+00   0.000000
304   1.75   2.00    35.0    40.0   0.000000e+00   0.000000
305   1.75   2.00    40.0    50.0   0.000000e+00   0.000000
306   1.75   2.00    50.0    70.0   0.000000e+00   0.000000
307   1.75   2.00    70.0   100.0   0.000000e+00   0.000000
308   1.75   2.00   100.0   150.0   0.000000e+00   0.000000
309   1.75   2.00   150.0   200.0   0.000000e+00   0.000000
310   1.75   2.00   200.0   300.0   0.000000e+00   0.000000
311   1.75   2.00   300.0   500.0   0.000000e+00   0.000000
312   2.00   2.25    10.0    15.0   0.000000e+00   0.000000
313   2.00   2.25    15.0    20.0   0.000000e+00   0.000000
314   2.00   2.25    20.0    25.0   0.000000e+00   0.000000
315   2.00   2.25    25.0    30.0   0.000000e+00   0.000000
316   2.00   2.25    30.0    35.0   1.154734e-02   0.003876
317   2.00   2.25    35.0    40.0   1.000000e-06   0.003466
318   2.00   2.25    40.0    50.0   1.422475e-02   0.003606
319   2.00   2.25    50.0    70.0   1.693227e-02   0.003427
320   2.00   2.25    70.0   100.0   1.909959e-02   0.004355
321   2.00   2.25   100.0   150.0   2.796272e-02   0.005466
